Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
192,quality/req-geom-block-sauna-not-allowed,"Kaavamääräyslaji ""Rakennusala, jolle saa sijoittaa saunan"" voidaan liittää ainoastaan kaavakohteeseen, joka on geometrialtaan alue.","Kaavamääräyslaji ""Rakennusala, jolle saa sijoittaa saunan"" voidaan liittää ainoastaan kaavakohteeseen, joka on geometrialtaan alue.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
193,quality/req-regulationtype-not-allowed-localmasterplan,Kaavamääräyslaji sallittu vain yleiskaavalla.,{0} - kaavamääräyslaji sallittu vain yleiskaavalla,{0}=koodiarvo,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/code/rakentamisrajoitusYleiskaava
194,quality/req-regulationtype-not-allowed-regionalplan,Kaavamääräyslaji sallittu vain maakuntakaavalla.,{0} - kaavamääräyslaji sallittu vain maakuntakaavalla,{0}=koodiarvo,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/code/rakentamisrajoitusMaakuntakaava
195,quality/req-must-be-valid-plan,Kaavan kumoutumistiedossa osoitetulla kumottovanKaavanTunnus-attribuutilla oleva arvo eli URI-muotoisen viittaustunnuksen tulee viitata voimassaolevaan kaavaan (elinkaaritilassa 13 - Voimassa).,Viittaustunnuksen mukaisen kaavan on oltava elinkaaritilassa 13 - Voimassa.,,Voimassa,,
196,quality/req-must-be-empty,"Jos kumoaaKaavanKokonaan-attribuutillle on asetettu arvoksi true, seuraavat attribuutit eivät ole sallittuja: kumottavanKaavakohteenTunnus, kumottavanRyhmänKohdistus, kumottavanMääräyksenTunnus tai kumottavanSuosituksenTunnus","Jos kumoaaKaavanKokonaan-attribuutillle on asetettu arvoksi true, seuraavat attribuutit eivät ole sallittuja: kumottavanKaavakohteenTunnus, kumottavanRyhmänKohdistus, kumottavanMääräyksenTunnus tai kumottavanSuosituksenTunnus",,Voimassa,,
197,quality/req-must-have-at-least-one,"Jos kumoaaKaavanKokonaan-attribuuttillle on asetettu arvoksi false, tulee vähintään yhdelle seuraavista attribuuteista antaa arvo eli URI-muotoinen viittaustunnus: kumottavanKaavakohteenTunnus, kumottavanRyhmänKohdistus, kumottavanMääräyksenTunnus tai kumottavanSuosituksenTunnus.","Jos kumoaaKaavanKokonaan-attribuuttillle on asetettu arvoksi false, tulee vähintään yhdelle seuraavista attribuuteista antaa arvo: kumottavanKaavakohteenTunnus, kumottavanRyhmänKohdistus, kumottavanMääräyksenTunnus tai kumottavanSuosituksenTunnus.",,Voimassa,,
198,quality/req-planregulationgroup-only-one-quantity-planregulation-is-valid,"Kaavamääräysryhmään kuuluvista kaavamääräyksistä enintään yhdellä kaavamääräyksellä voi olla suureellinen kaavamääräyslaji (eli jokin näistä http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/extension/suure). Jos siis useammalla kuin yhdellä kaavamääräysryhmään kuuluvista kaavamääräyksistä on suureellinen kaavamääräyslaji, palautetaan virhe.","Kaavamääräysryhmään kuuluvista kaavamääräyksistä enintään yhdellä kaavamääräyksellä voi olla suureellinen kaavamääräyslaji (eli jokin näistä http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayslaji/extension/suure). Jos siis useammalla kuin yhdellä kaavamääräysryhmään kuuluvista kaavamääräyksistä on suureellinen kaavamääräyslaji, palautetaan virhe.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
199,quality/req-key-reference-not-exists,Annetulle avainarvolle ei löytynyt vastaavuutta tallennussanoman json-tiedostosta.,Annetulle avainarvolle ei löytynyt vastaavuutta tallennussanoman json-tiedostosta.,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,,
200,lifecycle/req-interactionevents-codevalue-interactioneventtype,"Ainakin yhden vuorovaikutustapahtuman tyypin on oltava 01 - Nähtävilläolo, jos elinkaari on 03-Valmistelu, 04-Kaavaehdotus tai 05-Muutettu kaavaehdotus.","Ainakin yhden vuorovaikutustapahtuman tyypin on oltava {0}, jos elinkaari on {1}.","{0}=koodiarvo, {1}=koodiarvo","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus",,
201,lifecycle/req-interactionevents-codevalue-regionalplan-interactioneventtype,"Ainakin yhden vuorovaikutustapahtuman tyypin on oltava 01 - Nähtävilläolo tai 02-Lausuntopyyntö, jos elinkaari on 03-Valmistelu, 04-Kaavaehdotus tai 05-Muutettu kaavaehdotus ja kaavalaji on 11 Kokonaismaakuntakaava tai 12 Vaihemaakuntakaava.","Ainakin yhden vuorovaikutustapahtuman tyypin on oltava {0} tai {1}, jos elinkaari on {2} ja kaavalaji on {3} tai {4}.","{0}=koodiarvo, {1}=koodiarvo, {2}=koodiarvo, {3}=koodiarvo, {4}=koodiarvo","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus",,
202,quality/req-cancelled-plan-type-must-be-regional,"Kumoava kaava on kaavalajiltaan maakuntakaava, tällöin kumoutuvan kaavan tulee olla myös kaavalajia maakuntakaava.","Kumoava kaava on kaavalajiltaan maakuntakaava, tällöin kumoutuvan kaavan tulee olla myös kaavalajia maakuntakaava.",,Voimassa,,
203,quality/req-cancelled-plan-type-must-be-detailed-or-master,"Kumoava kaava on kaavalajiltaan yleiskaava, tällöin kumoutuvan kaavan tulee olla myös kaavalajia yleiskaava tai asemakaava.","Kumoava kaava on kaavalajiltaan yleiskaava, tällöin kumoutuvan kaavan tulee olla myös kaavalajia yleiskaava tai asemakaava.",,Voimassa,,
204,quality/req-cancelled-plan-type-must-be-detailed,"Kumoava kaava on kaavalajiltaan asemakaava, tällöin kumoutuvan kaavan tulee olla myös kaavalajia asemakaava.","Kumoava kaava on kaavalajiltaan asemakaava, tällöin kumoutuvan kaavan tulee olla myös kaavalajia asemakaava.",,Voimassa,,
205,quality/rec-master-plan-cancelling-detailed-plan,"Kumoava kaava on kaavalajiltaan yleiskaava mutta kumoutuva kaava kaavalajia asemakaava. Tämä sääntö on varoitustyyppinen, jotta käyttäjä huomaa että on kumoamassa yleiskaavalla asemakaavaa.",Kumoava kaava on kaavalajiltaan yleiskaava mutta kumoutuva kaava kaavalajia asemakaava.,,Voimassa,,
206,quality/req-begin-and-end-date-not-empty,Alku- ja loppupäivämäärä tulee olla annettu,Alku- ja loppupäivämäärä tulee olla annettu,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.arvo,
207,quality/additionalinfotype-temporaryregulation,"Kun kaavamääräyslaji on ""maaraAikainenRakentamisrajoitus "" tai ""maaraAikainenKieltoRakennuksenRakentamiseksi"" silloin lisätiedon lajin tulee olla http://uri.suomi.fi/codelist/rytj/RY_Kaavamaaraysen_Lisatiedonlaji/code/valiaikainenMaarays","Kun kaavamääräyslaji on ""maaraAikainenRakentamisrajoitus "" tai ""maaraAikainenKieltoRakennuksenRakentamiseksi "" silloin lisätiedon lajin tulee olla http://uri.suomi.fi/codelist/rytj/RY_Kaavamaarayksen_Lisatiedonlaji/code/valiaikainenMaarays",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
208,quality/req-regulationgroupkey-not-found,RelatedPlanRegulationGroupRelation -luokalta puuttuu planRegulationGroupKey arvo.,RelatedPlanRegulationGroupRelation -luokalta puuttuu planRegulationGroupKey arvo.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","RelatedPlanRegulationGroupRelations.planRegulationGro
upKey",
209,quality/req-one-of-relations,Vähintään yksi PlanRegulationGroupRelations tai RelatedPlanRegulationGroupRelations luokista tulee olla mukana tallennussanomassa.,Vähintään yksi PlanRegulationGroupRelations tai RelatedPlanRegulationGroupRelations luokista tulee olla mukana tallennussanomassa.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","PlanRegulationGroupRelations, RelatedPlanRegulationGroupRelations",
210,quality/req-relatedplanobjectregulationgrouprelations-not-allowed,RelatedPlanObjectRegulationGroupRelations - luokka voi olla annettu vain jos kaavalaji on vaiheasemakaava tai vaiheyleiskaava.,RelatedPlanObjectRegulationGroupRelations -luokka voi olla annettu vain jos kaavalaji on vaiheasemakaava tai vaiheyleiskaava.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",RelatedPlanObjectRegulationGroupRelations,
211,quality/req-matter-permanentidentifier-not-found,Pysyvä tunnus on kirjoitettu väärin tai sitä ei ei ole.,Annetulla pysyvällä tunnuksella {0} ei löydy muokattavaa asiaa.,{0} = pysyvän tunnuksen arvo,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
212,quality/req-matter-permanentidentifier-mismatch,URI-parametrissa annettu pysyvän tunnuksen arvo ei vastaa tallennussanoman pysyvää tunnusta.,URI-parametrissa annettu pysyvän tunnuksen arvo ei vastaa tallennussanoman pysyvää tunnusta.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
213,quality/req-phase-not-found,Vaihetta ei löydy.,Vaihetta ei löydy.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
214,quality/req-matter-matching-given-identifier-not-found,URI-parametrissa annettu pysyvä tunnus ei vastaa vaiheen asian pysyvää tunnusta.,URI-parametrissa annettu pysyvä tunnus ei vastaa vaiheen asian pysyvää tunnusta.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
215,quality/req-phase-key-mismatch,URI-parametrissa annettu vaiheen avain ei vastaa tallennussanoman vaiheen avainta.,URI-parametrissa annettu vaiheen avain ei vastaa tallennussanoman vaiheen avainta.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
216,lifecycle/req-change-not-allowed,Elinkaaren muutos ei sallittu.,Elinkaaren muutos ei sallittu.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,#NAME?
217,quality/req-municipality-codevalue-not-found,Kuntakoodi ei ole voimassa.,Kuntakoodi ei ole voimassa.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",KaavaAsia.hallinnollisenAlueenTunnus,
218,quality/req-plan-cancellation-info-allowed-in-valid-or-repealed-lifecycle-status,Kumoutumistieto on sallittu vain voimassa tai kumoutunut elinkaaritiloissa kumoutunut elinkaaritiloissa.,Kumoutumistieto on sallittu vain voimassa tai kumoutunut elinkaaritiloissa,,"Voimassa, Kumoutunut",,
219,statusquality/req-partially-cancelled-plan-objects-allowed-in-valid-lifecycle-,Osittain kumottavan kaavakohteen tieto on sallittu vain voimassa elinkaaritiloissa.,Osittain kumottavan kaavakohteen tieto on sallittu vain voimassa elinkaaritiloissa,,Voimassa,Kaava.osittainKumottavaKaavakohde,
220,quality/req-plan-map-coordinate-system-must-be-etrs-tm35fin,Kaavakartta-luokan koordinaatiston tulee olla EPSG-koodi URI-muodossa. Tulee käyttää ETRS-TM35FIN –koordinaatiston URI-muotoa (http://uri.suomi.fi/codelist/rakrek/ETRS89/code/EPSG3067).,Kaavakartta-luokan koordinaatiston tulee olla EPSG-koodi URI-muodossa. Tulee käyttää ETRS-TM35FIN–koordinaatiston URI-muotoa.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",Kaavakartta.koordinaatisto,
221,quality/req-geokey-directory-missing,Geotiff-tiedosto ei sisällä geodirectory-rakennetta.,Geotiff-tiedosto ei sisällä geodirectory rakennetta,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
222,quality/req-geotiff-projected-crs-not-found-or-does-not-match-expected-crs,Geotiff-tiedostosta ei löydy koordinaatistoa tai se ei vastaa Kaavakartta-luokan koordinaatisto-attribuutin arvoa.,Geotiff-tiedostosta ei löydy koordinaatistoa tai se ei vastaa Kaavakartta-luokan koordinaatisto-attribuutin arvoa.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
223,quality/req-geotiff-extent-not-found-or-does-not-cover-plan-geographical-area,Geotiff-tiedoston aluerajausta ei löydy tai se ei peitä kaavan aluerajausta.,Geotiff-tiedoston aluerajausta ei löydy tai se ei peitä kaavan aluerajausta.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
224,quality/req-file-declared-as-malware,"Tiedostosta, jonka fileKey-arvo annettu virheviestissä, on löytynyt haittaohjelma! Tiedostoa ei voida käyttää. Ota yhteys Ryhdin tukeen, ennen kuin yrität uudelleen.","Tiedostosta, jonka fileKey on {0}, on löytynyt haittaohjelma! Tiedostoa ei voida käyttää. Ota yhteys Ryhdin tukeen, ennen kuin yrität uudelleen.",{0}=fileKey,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
225,lifecycle/req-period-of-validity-must-not-begin-before-approval-date,Kaava-luokan voimassaoloajan alkamisajankohta ei saa olla aikaisempi kuin hyväksymispäivämäärä.,Kaava-luokan voimassaoloajan alkamisajankohta ei saa olla aikaisempi kuin hyväksymispäivämäärä.,,Voimassa,,
226,quality/pixel-scale-invalid,Kuvan resoluutio/pikselin tulee olla identtinen x- ja y-akseleiden suuntaan.,Kuvan resoluutio/pikselin tulee olla identtinen x- ja y-akseleiden suuntaan.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
227,quality/pixel-scale-not-power-of-two,"Kuvan resoluutio/pikselin koko maastossa tulee olla soveltuva kahden potenssi (sallittu väli 256, ... 0.015625 metriä per pikseli).","Kuvan resoluutio/pikselin koko maastossa tulee olla soveltuva kahden potenssi (sallittu väli 256, ... 0.015625 metriä per pikseli).",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
228,quality/req-presentationalignment-planregulationgroup-not-found,Esitystavan kohdistukselle osoitettua kaavamääräysryhmää ei löydy.,Esitystavan kohdistukselle osoitettua kaavamääräysryhmää ei löydy.,,,Esitystavankohdistus.kaavamääräysRyhmäAvain,
229,quality/req-presentationalignment-allowed-geomety-types,Esitystavan kohdistuksen geometria-attribuutin arvoksi sallittaan vain piste tai viiva geometria.,Esitystavan kohdistuksen geometria-attribuutin arvoksi sallittaan vain piste tai viiva geometria.,,,Esitystavankohdistus.geometria,
230,quality/req-presentationalignment-rotation,Esitystavan kohdistuksen kierto-attribuutin arvon tulee olla väliltä -360 ja 360,Esitystavan kohdistuksen kierto-attribuutin arvon tulee olla väliltä -360 ja 360,,,Esitystavankohdistus.kiertokulma,
231,quality/req-planregulationgroup-letteridentifier-not-null,"Kirjaintunnus ei saa olla tyhjä, kun ryhmään kuuluu jokin määräys, jonka lisätiedon laji on pääkäyttötarkoitus.","Kirjaintunnus ei saa olla tyhjä, kun ryhmään kuuluu jokin määräys, jonka lisätiedon laji on pääkäyttötarkoitus.",,,"Kaavamääräysryhmä.kirjaintunnus, Lisätieto.laji",
232,quality/req-missing-additionalinfo-sub-area,"Jos kaavamääräyslaji on maaraAikainenRakentamisrajoitus tai maaraAikainenKieltoRakennuksenRakentamiseksi, tulee lisätiedon lajin arvoksi olla annettu väliaikainen määräys","Jos kaavamääräyslaji on maaraAikainenRakentamisrajoitus tai maaraAikainenKieltoRakennuksenRakentamiseksi, tulee lisätiedon lajin arvoksi olla annettu väliaikainen määräys",,,"Kaavamääräys.laji, Lisätieto.laji",
233,quality/geom-validity-geometry-must-be-provided-when-partially-cancelling-object,Osittain kumottavan kaavankohteen voimassa oleva geometria tulee olla annettu.,Osittain kumottavan kaavankohteen voimassa oleva geometria tulee olla annettu.,,,KaavakohteenKumoamistieto.voimassaolevaGeometria,
234,lifecycle/req-plandecision-must-have-cancellation-info-if-repealed-lifecycle,"Kumoutunut vaiheessa päätöksen nimen ollessa kaavan kumoaminen, tulee päätöksellä olla kumoutumistieto.","Kumoutunut vaiheessa päätöksen nimen ollessa kaavan kumoaminen, tulee päätöksellä olla kumoutumistieto. ",,,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi, Kaavakohde, KaavaAsianPäätös.kumoamistieto",
235,lifecycle/req-plan-cannot-be-present-if-repealed-lifecycle,"Kaavaluokkaa ei saa olla, jos päätös on kaavan kumoaminen ja vaihe kumoutunut.","Kaavaluokkaa ei saa olla, jos päätös on kaavan kumoaminen ja vaihe kumoutunut.",,,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi, Kaava",
236,quality/req-plan-object-cannot-be-present-plandecision-has-plancancellations-valid-lifecycle,"Kaavaluokkaa ei saa olla, jos päätös on kaavan kumoaminen osittain ja vaihe voimassa.","Kaavaluokkaa ei saa olla, jos päätös on kaavan kumoaminen osittain ja vaihe voimassa.",,,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi, Kaava",
237,quality/req-presentationalignment-plan-object-not-found,Esitystavan kohdistukselle osoitettua kaavakohdetta ei löydy.,Esitystavan kohdistukselle osoitettua kaavakohdetta ei löydy.,,,Esitystavankohdistus.kaavakohdeAvain,
238,quality/req-plan-cancellation-info-must-target-the-same-planmatter-as-itself-decision,Päätöksellä kumottaessa kumoutumisen pitää kohdistua samaan kaava-asiaan eli itseensä.,Päätöksellä kumottaessa kumoutumisen pitää kohdistua samaan kaava-asiaan eli itseensä.,,,"KaavaAsianPäätös.nimi, KaavaAsianPäätös.kumoamistieto.kumottavanKaavanTunnus",
239,quality/req-plan-cancellation-info-must-target-different-planmatter-than-itself-plan,"Kaavalla kumottaessa kumoamisen pitää kohdistua toiseen kaava-asiaan, ei itseensä.","Kaavalla kumottaessa kumoamisen pitää kohdistua toiseen kaava-asiaan, ei itseensä.",,,"Kaava.kumoamistieto, KaavanKumoamisTieto.kumottavanKaavanTunnus",
240,quality/req-plan-overlaps-underlying-plans-must-provide-cancellation-infos,"Kaavalla, joka leikkaa allaolevia kaavoja, on oltava kumoutumistieto.","Kaavalla, joka leikkaa allaolevia kaavoja, on oltava kumoutumistieto.",,,"Kaava.kumoamistieto, Kaava.aluerajaus, Kaavakohde.geometria",
241,lifecycle/req-plan-cannot-be-present-if-repealed-lifecycle,"Kaava ei saa olla mukana, jos vaiheen elinkaari on kumoutunut.","Kaava ei saa olla mukana, jos vaiheen elinkaari on kumoutunut.",,,"KaavaAsianVaihe.elinkaaritila, Kaava",
242,lifecycle/req-plandecision-must-have-cancellation-info-if-plan-not-present-and-valid-or-repealed-lifecycle,"Kaava-asian päätöksellä tulee olla kumoutumistieto, jos kaava-luokaa ei ole mukana kaava-asian vaiheen ollessa voimassa tai kumoutunut elinkaaritilassa.","Kaava-asian päätöksellä tulee olla kumoutumistieto, jos kaava-luokaa ei ole mukana kaava-asian vaiheen ollessa voimassa tai kumoutunut elinkaaritilassa.",,,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.kumoamistieto, Kaava",
243,lifecycle/req-plandecision-must-have-cancellation-info-cancels-entire-plan-true-if-phase-repealed-lifecycle,"Jos kaava-asian vaiheen elinkaaritila on kumoutunut, tulee kaava-asian päätöksen kumoutumistiedon kumoaa kaavan kokonaan olla ""tosi"".","Jos kaava-asian vaiheen elinkaaritila on kumoutunut, tulee kaava-asian päätöksen kumoutumistiedon kumoaa kaavan kokonaan olla ""tosi"".",,,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.kumoamistieto, KaavanKumoutumistieto.kumoaaKaavanKokonaan",
244,quality/req-plan-cannot-be-present-plandecision-has-plancancellations-valid-lifecycle,"Kaava-luokkaa ei saa olla mukana, jos kaava-asian päätöksellä on kumoutumistieto voimassa elinkaaritilassa.","Kaava-luokkaa ei saa olla mukana, jos kaava-asian
päätöksellä on kumoutumistieto voimassa
elinkaaritilassa.",,,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi, Kaavakohde",
245,quality/req-plan-cancellation-info-must-overlap-the-plan-being-cancelled,Kumoava kaava ei peitä alla olevaa kumoutuvaa kaavaa kokonaan.,Kumoava kaava ei peitä alla olevaa kumoutuvaa kaavaa kokonaan.,,,"Kaava.aluerajaus, Kaavakohde.geometria",
246,quality/req-plan-cancellation-info-srid-must-match,Kumoavan ja kumoutuvan kaavan koordinaatistojen tulee olla samat.,Kumoavan ja kumoutuvan kaavan koordinaatistojen tulee olla samat.,,,"KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
247,quality/req-plan-object-cancellation-infos-must-be-empty-when-underlying-plan-is-delimitation-digitised,"KaavakohteenKumoamistieto-attribuutin on oltava tyhjä, jos alle jäävän kaavan digitaalinen alkuperä on ""Rajaus digitoitu"". ","KaavakohteenKumoamistieto-attribuutin on oltava tyhjä, jos alle jäävän kaavan digitaalinen alkuperä on ""Rajaus digitoitu"". ",,,KaavanKumoamistieto.kaavakohteenKumoamisTieto,
248,quality/req-plan-cancellation-info-must-have-at-least-one-plan-object-cancelled,Kaikkien kaavakohteiden kumoaminen johtaa koko kaavan kumoamiseen → kumoaaKaavanKokonaan-arvoksi on asetettava true,Kaikkien kaavakohteiden kumoaminen johtaa koko kaavan kumoamiseen → kumoaaKaavanKokonaan-arvoksi on asetettava true,,,KaavanKumoamistieto.kumoaaKaavanKokonaan,
249,quality/req-cancels-entire-plan-when-underlying-plan-is-covered-completely,"KaavaKumoaaKaavanKokonaan arvon tulee olla tosi, jos kumoava kaava peittää alle jäävän kaavan kokonaan.","KaavaKumoaaKaavanKokonaan arvon tulee olla tosi, jos kumoava kaava peittää alle jäävän kaavan kokonaan.",,,KaavanKumoamistieto.kumoaaKaavanKokonaan,
